" ""Colorado Public Library Statistics""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.lrs.org/public/data/csv/id/43830/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Library,City,County,Visits,ILLs Loaned,ILLs Borrowed,Total Number of Challenges,Total Collection Use,Total Circulation,Annual Operating Hours,Automatic Renewals,Overdue Fines for Children's Books,Overdue Fines for YA Books,Overdue Fines for Adult Books,"Average hours open per week, per outlet",Website Visits,Public Access Internet Computers,Total Print Expenditures,Total Collection Expenditures,Miscellaneous Operating Expenditures,Total Operating Expenditures,Capital Expenditures,Staff Salaries,Number of Bookmobiles,Staff Expenditures per Capita,Materials Expenditures per Capita,Other Expenditures per Capita,Total Expenditures per Capita,Local Revenue per Capita,Staff Expenditures as Percent of Total Operating Expenditures,Materials Expenditures as Percent of Total Operating Expenditures,LSA Population,Legal Basis,LSA Registered Borrowers,Number of Non-Resident Registered Borrowers,Total Registered Borrowers,"Staff per 1,000 Served",Print Volumes per Capita,Registration as Percent of Population,Library Visits per Capita,Circulation per Capita,Number of individuals directly engaged,Number of individuals exposed to the library,Circulation per Capita,"Program Attendance per 1,000 Served",Total Programs,Total Program Attendance,Local Capital Revenue,State Capital Revenue,Federal Capital Revenue,Other Capital Revenue,Total Capital Revenue,City General Fund,County General Fund,City Sales Tax,County Sales Tax,City Mill Levy,County Mill Levy,District Mill Levy,Total Local Operating Revenue,Total State Operating Revenue,Total Federal Operating Revenue,Other Operating Revenue,Total Operating Revenue,Non-Supervising Librarian Salary (high),Non-Supervising Librarian Salary (low),MLS Required - Librarian,Library Assistant (high),Library Assistant (low),Library Clerk Hourly (high),Library Clerk Hourly (low),ALA-MLS Librarians (FTE),Total Librarians (FTE),Other Paid Staff (FTE),Total Staff (FTE)
Broomfield/Eisenhower Public Library,BROOMFIELD,BROOMFIELD,"195,200",0,306,0,"775,835","716,100","3,412",Yes,No,No,No,65.6,"247,406",39,"$150,805 ","$279,775 ","$185,638 ","$2,799,347 ","$134,390 ","$1,774,504 ",0,$31.34 ,$3.76 ,$2.49 ,$37.59 ,$40.18 ,83%,10%,"74,470",CC,"33,517","22,777","56,294",0.44,1.31,76%,2.62,9.62,Not Collected,Not Collected,9.62,224.04,823,"16,684",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$2,991,838 ",$0 ,$0 ,"$2,991,838 ","$20,705 ",$0 ,"$44,872 ","$3,057,415 ","$68,141 ","$36,400 ",No,$23.12 ,$20.65 ,$27.08 ,$12.35 ,13.05,15.2,17.57,32.77
Burlington Public Library,BURLINGTON,KIT CARSON,"11,116",701,"1,116",0,"14,469","14,469","2,344",No,No,Yes,Yes,45.1,No Data,4,"$12,307 ","$12,707 ","$23,769 ","$150,564 ","$19,827 ","$82,150 ",0,$36.02 ,$4.01 ,$7.51 ,$47.54 ,$62.12 ,76%,8%,"3,167",CI,689,252,941,0.55,2.02,30%,3.51,4.57,Not Collected,Not Collected,4.57,382.38,111,"1,211","$19,827 ",$0 ,$0 ,$0 ,"$19,827 ","$196,749 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$196,749 ","$4,000 ","$5,500 ","$6,500 ","$212,749 ",No Data,No Data,No,No Data,No Data,No Data,No Data,0,1.75,0,1.75
Canon City Public Library,CANON CITY,FREMONT,"39,445","5,753","5,404",0,"175,405","153,708","3,536",Yes,No,No,No,34,"49,485",40,"$53,916 ","$101,425 ","$24,602 ","$965,376 ",$0 ,"$617,475 ",0,$48.87 ,$5.91 ,$1.43 ,$56.21 ,$53.85 ,87%,11%,"17,175",CI,"23,227",986,"24,213",0.93,3.2,141%,2.3,8.95,Not Collected,Not Collected,8.95,837.9,496,"14,391",$0 ,$0 ,$0 ,$0 ,$0 ,"$914,860 ","$10,000 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$924,860 ","$5,925 ","$7,285 ","$90,941 ","$1,029,011 ","$49,483 ","$45,947 ",No,$18.04 ,$17.77 ,$15.55 ,$15.32 ,2,2,14,16
Clear Creek County Library District,GEORGETOWN,CLEAR CREEK,"28,865",0,"1,551",0,"78,200","65,584","5,168",No,No,No,No,33.1,"51,764",77,"$25,709 ","$43,207 ","$277,244 ","$964,150 ","$27,882 ","$514,829 ",0,$68.12 ,$4.57 ,$29.34 ,$102.04 ,$81.78 ,67%,4%,"9,449",LD,"5,139",314,"5,453",1.15,3.18,58%,3.05,6.94,Not Collected,Not Collected,6.94,544.29,439,"5,143",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$772,712 ","$772,712 ","$5,500 ","$10,799 ","$23,647 ","$812,658 ",No Data,No Data,No,$24.09 ,$17.36 ,$16.76 ,$14.04 ,1,9.99,0.86,10.85
Clearview Library District (Windsor-Severance),WINDSOR,WELD,"110,101","3,946","3,368",0,"451,017","427,326","3,615",Yes,No,No,Yes,34.8,"227,466",19,"$79,663 ","$266,549 ","$1,360,228 ","$3,544,212 ",$0 ,"$1,531,917 ",1,$59.23 ,$8.23 ,$42.02 ,$109.48 ,$143.63 ,54%,8%,"32,374",LD,"21,639","7,268","28,907",0.91,1.94,89%,3.4,13.2,Not Collected,Not Collected,13.2,294.37,786,"9,530",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$4,649,752 ","$4,649,752 ","$17,573 ",$0 ,"$1,113,379 ","$5,780,704 ","$64,636 ","$58,000 ",Yes,$23.20 ,$16.64 ,$16.22 ,$12.56 ,4.8,8.8,20.59,29.39
Conejos County Library District,LA JARA,CONEJOS,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,"7,584",LD,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,Not Collected,Not Collected,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
Cortez Public Library,CORTEZ,MONTEZUMA,"161,720",68,358,1,"125,881","125,881","1,820",Yes,No,No,No,35,No Data,40,"$33,684 ","$48,193 ","$99,495 ","$609,191 ",$0 ,"$336,135 ",0,$52.67 ,$5.50 ,$11.36 ,$69.53 ,$73.75 ,76%,8%,"8,762",CI,"12,684","17,061","29,745",0.8,6.12,339%,18.46,14.37,Not Collected,Not Collected,14.37,19.74,27,173,$0 ,$0 ,$0 ,$0 ,$0 ,"$646,195 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$646,195 ","$4,500 ","$5,626 ","$28,800 ","$685,121 ",No Data,No Data,No,$21.96 ,$14.00 ,$17.00 ,$12.85 ,0,1,6,7
Costilla County Public Library,SAN LUIS,COSTILLA,"1,027",0,0,0,0,0,"2,864",No,Yes,No,No,27.5,0,11,"$1,079 ","$3,079 ","$31,534 ","$100,197 ","$3,000 ","$59,084 ",0,$18.12 ,$0.85 ,$8.71 ,$27.68 ,$27.68 ,65%,3%,"3,620",CO,704,0,704,0.44,0.39,19%,0.28,0,Not Collected,Not Collected,0,0,0,0,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$62,084 ",$0 ,"$38,112 ",$0 ,$1 ,$0 ,"$100,197 ",$0 ,$0 ,$0 ,"$100,197 ",$0 ,$0 ,Yes,$0.00 ,$0.00 ,$0.00 ,$0.00 ,0,0.8,0.8,1.6
Delta County Public Library District,HOTCHKISS,DELTA,"74,492","26,938","22,019",0,"252,589","204,624","4,316",No,Yes,Yes,Yes,16.6,"123,889",54,"$48,030 ","$109,110 ","$365,611 ","$1,155,161 ","$53,822 ","$576,988 ",0,$21.47 ,$3.44 ,$11.54 ,$36.45 ,$40.93 ,59%,9%,"31,692",LD,"22,171",892,"23,063",0.52,2.88,73%,2.35,6.46,Not Collected,Not Collected,6.46,156.98,268,"4,975","$50,000 ",$0 ,$0 ,$0 ,"$50,000 ",$0 ,"$181,866 ",$0 ,"$87,967 ",$0 ,$0 ,"$1,027,260 ","$1,297,093 ","$14,184 ","$92,226 ","$46,950 ","$1,450,453 ",$0 ,$0 ,No,$19.70 ,$14.40 ,$0.00 ,$0.00 ,0,3.45,12.95,16.4
Denver Public Library,DENVER,DENVER,"1,171,120","57,627","90,914",1,"6,566,491","6,082,281","34,802",Yes,No,No,No,24.8,"5,341,636","1,526","$2,288,347 ","$6,011,437 ","$3,966,145 ","$46,785,092 ","$184,571 ","$26,201,611 ",1,$51.29 ,$8.38 ,$5.53 ,$65.19 ,$63.27 ,79%,13%,"717,632",CI,"302,000","147,224","449,224",0.64,1.82,63%,1.63,8.48,Not Collected,Not Collected,8.48,292.93,"9,982","210,215","$154,763 ",$0 ,$0 ,$0 ,"$154,763 ","$45,405,463 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$45,405,463 ","$155,325 ","$83,941 ","$1,898,594 ","$47,543,323 ","$78,652 ","$11,505 ",Yes,$29.19 ,$17.91 ,$22.97 ,$15.00 ,139,139,322.25,461.25
Dolores Library District/Montezuma County,DOLORES,MONTEZUMA,"15,307","1,832","3,616",1,"32,086","31,886","1,984",Yes,No,No,No,38.2,"16,800",23,"$9,494 ","$16,981 ","$87,209 ","$299,673 ","$17,711 ","$177,506 ",0,$52.34 ,$4.55 ,$23.35 ,$80.23 ,$78.72 ,65%,6%,"3,735",LD,"3,514",467,"3,981",1.2,4.97,107%,4.1,8.54,Not Collected,Not Collected,8.54,462.92,65,"1,729",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$294,017 ","$294,017 ","$8,646 ","$1,479 ","$17,299 ","$321,441 ",No Data,No Data,No,$17.68 ,$15.00 ,$15.00 ,$13.00 ,0,0,4.5,4.5
Douglas County Libraries,CASTLE ROCK,DOUGLAS,"1,158,320","15,545","43,762",4,"6,259,961","5,911,422","21,008",Yes,Yes,Yes,Yes,57.7,"1,905,116",205,"$1,099,203 ","$3,847,531 ","$5,044,850 ","$24,699,615 ","$1,849,972 ","$12,774,046 ",0,$42.80 ,$10.42 ,$13.66 ,$66.88 ,$80.30 ,64%,16%,"369,287",LD,"217,755","22,633","240,388",0.64,1.2,65%,3.14,16.01,Not Collected,Not Collected,16.01,146.11,"2,279","53,958",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$29,655,129 ","$29,655,129 ",$0 ,"$64,761 ","$3,655,319 ","$33,375,209 ","$68,889 ","$24,472 ",No,$21.95 ,$16.49 ,$19.32 ,$15.97 ,18.9,51.35,186.53,237.88
Durango Public Library,DURANGO,LA PLATA,"130,774",142,310,0,"263,720","259,512","1,813",No,No,No,No,34.9,"317,944",28,"$154,871 ","$240,787 ","$322,111 ","$2,405,363 ",$0 ,"$1,348,146 ",0,$32.74 ,$4.28 ,$5.72 ,$42.74 ,$42.74 ,77%,10%,"56,277",CI,"26,711","1,791","28,502",0.61,1.3,51%,2.32,4.61,Not Collected,Not Collected,4.61,54.59,100,"3,072",$0 ,$0 ,$0 ,$0 ,$0 ,"$216,654 ",$0 ,$0 ,"$2,188,710 ",$0 ,$0 ,$0 ,"$2,405,364 ","$14,385 ","$20,191 ",$0 ,"$2,439,940 ","$66,765 ","$63,617 ",Yes,$23.73 ,$17.54 ,$12.98 ,$12.98 ,7,7,27.5,34.5
Eagle Valley Library District,EAGLE,EAGLE,"230,690","146,830","21,857",0,"335,293","233,623","8,263",Yes,No,Yes,Yes,53,"130,795",49,"$290,247 ","$510,593 ","$1,259,166 ","$4,518,983 ","$28,273 ","$2,032,167 ",0,$60.51 ,$11.24 ,$27.71 ,$99.46 ,$118.29 ,61%,11%,"45,436",LD,"24,523","2,667","27,190",0.75,3.16,60%,5.08,5.14,Not Collected,Not Collected,5.14,421.32,"1,198","19,143","$10,000 ",$0 ,$0 ,$0 ,"$10,000 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$5,374,422 ","$5,374,422 ","$11,688 ",$0 ,"$389,025 ","$5,775,135 ","$79,352 ","$57,416 ",Yes,$30.00 ,$20.00 ,$24.00 ,$18.00 ,15,15,19.28,34.28
East Cheyenne County Library District,CHEYENNE WELLS,CHEYENNE,"2,232",0,32,0,"5,117","4,989","1,151",No,No,No,No,22.1,"2,255",5,"$10,126 ","$13,691 ","$21,365 ","$78,867 ",$0 ,"$40,698 ",0,$29.13 ,$9.10 ,$14.21 ,$52.44 ,$59.83 ,56%,17%,"1,504",LD,396,81,477,1,10.73,32%,1.48,3.32,Not Collected,Not Collected,3.32,581.78,13,875,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$89,989 ","$89,989 ","$4,000 ",$0 ,"$1,519 ","$95,508 ",No Data,No Data,No,$14.00 ,$14.00 ,$13.00 ,$13.00 ,0,1.5,0,1.5
East Morgan County Library District/Brush,BRUSH,MORGAN,"43,324","4,008","1,345",0,"139,289","110,425","3,016",Yes,No,No,No,58,"132,363",29,"$37,000 ","$79,000 ","$295,499 ","$1,022,149 ","$21,000 ","$422,000 ",0,$82.10 ,$10.01 ,$37.46 ,$129.57 ,$124.98 ,63%,8%,"7,889",LD,"7,419","1,763","9,182",1.43,4.89,116%,5.49,14,Not Collected,Not Collected,14,"1,434.15",422,"11,314",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$985,942 ","$985,942 ","$4,500 ","$67,411 ","$42,371 ","$1,100,224 ","$31,212 ","$21,060 ",No,$17.96 ,$13.00 ,$13.00 ,$12.91 ,2,5,6.3,11.3
East Routt Library District,STEAMBOAT SPRINGS,ROUTT,"147,759","103,951","31,286",0,"359,336","283,582","2,594",No,No,No,No,49.9,"167,097",12,"$150,343 ","$458,211 ","$742,870 ","$2,348,634 ","$64,048 ","$976,574 ",0,$61.09 ,$24.39 ,$39.55 ,$125.03 ,$141.72 ,49%,20%,"18,785",LD,"16,172","1,562","17,734",1.86,3.45,94%,7.87,15.1,Not Collected,Not Collected,15.1,930.26,458,"17,475",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$2,662,214 ","$2,662,214 ","$6,439 ",$0 ,"$60,264 ","$2,728,917 ",No Data,No Data,Yes,$23.00 ,$16.75 ,$17.50 ,$15.50 ,5,5,30,35
Elbert County Library District,ELIZABETH,ELBERT,"27,831","10,239","10,244",0,"365,021","365,021","8,370",Yes,No,No,No,40.2,"28,000",32,"$44,600 ","$73,850 ","$206,690 ","$930,449 ",$0 ,"$482,109 ",0,$23.96 ,$2.72 ,$7.62 ,$34.30 ,$43.51 ,70%,8%,"27,123",LD,"8,208",769,"8,977",0.26,2.38,33%,1.03,13.46,Not Collected,Not Collected,13.46,114.92,"2,419","3,117",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$140,000 ",$0 ,$0 ,"$1,040,000 ","$1,180,000 ","$8,000 ",$0 ,"$1,075 ","$1,189,075 ","$19,808 ","$1,804 ",No,$15.65 ,$12.12 ,$12.12 ,$12.12 ,1.8,6.18,1,7.18
Englewood Public Library,ENGLEWOOD,ARAPAHOE,"37,923",0,0,0,"134,323","134,323","2,640",Yes,Yes,Yes,Yes,50.8,"368,761",12,"$73,009 ","$151,413 ","$253,680 ","$1,202,448 ",$0 ,"$665,643 ",0,$23.69 ,$4.50 ,$7.54 ,$35.73 ,$35.77 ,66%,13%,"33,657",CI,"21,980","9,767","31,747",0.39,1.92,94%,1.13,3.99,Not Collected,Not Collected,3.99,225.24,640,"7,581",$0 ,$0 ,$0 ,$0 ,$0 ,"$1,203,803 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$1,203,803 ","$9,743 ",$0 ,"$6,500 ","$1,220,046 ","$63,000 ",No Data,Yes,$22.00 ,$18.00 ,No Data,No Data,6,6,7,13
Estes Valley Public Library District,ESTES PARK,LARIMER,"76,061",0,"3,196",0,"148,522","145,834","2,489",Yes,No,No,No,47.9,"182,403",12,"$63,563 ","$171,023 ","$447,006 ","$1,848,799 ",$0 ,"$919,759 ",0,$104.65 ,$14.54 ,$38.01 ,$157.20 ,$172.10 ,67%,9%,"11,761",LD,"10,965","1,138","12,103",1.41,2.34,103%,6.47,12.4,Not Collected,Not Collected,12.4,357.62,367,"4,206",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$2,024,063 ","$2,024,063 ","$5,225 ",$0 ,"$230,421 ","$2,259,709 ","$55,301 ","$40,040 ",No,$19.50 ,$15.71 ,$16.43 ,$12.32 ,2,6.7,9.9,16.6
Flagler Community Library,FLAGLER,KIT CARSON,"2,720",960,848,0,"3,645","3,645","2,000",Yes,No,No,No,38.5,690,4,"$2,720 ","$8,226 ",$283 ,"$25,011 ","$4,108 ","$15,330 ",0,$29.05 ,$14.48 ,$0.50 ,$44.03 ,$7.92 ,66%,33%,568,CI,409,52,461,1.76,15.38,81%,4.79,6.42,Not Collected,Not Collected,6.42,91.55,13,52,"$16,000 ",$0 ,$0 ,$0 ,"$16,000 ","$4,500 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$4,500 ","$1,500 ",$0 ,$0 ,"$6,000 ",$0 ,$0 ,No,$0.00 ,$0.00 ,$13.50 ,$12.56 ,0,1,0,1
Fort Morgan Public Library,FORT MORGAN,MORGAN,"69,189","2,182","2,752",0,"43,021","43,021","2,771",No,No,No,No,53.3,No Data,24,"$28,106 ","$36,505 ","$122,913 ","$705,880 ","$8,000 ","$330,403 ",0,$47.31 ,$3.16 ,$10.64 ,$61.11 ,$63.98 ,77%,5%,"11,551",CI,"8,301","3,358","11,659",0.69,2.8,101%,5.99,3.72,Not Collected,Not Collected,3.72,230.63,158,"2,664","$8,000 ",$0 ,$0 ,$0 ,"$8,000 ","$739,003 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$739,003 ","$4,759 ",$0 ,$0 ,"$743,762 ",No Data,No Data,No,$19.57 ,$16.22 ,$13.70 ,$13.36 ,1,5,3,8
